Ticker,Nombre,Industria,Sector,Activo
BA,BOEING CO/THE,Industrial,Industrial,SI
BKNG,BOOKING HOLDINGS INC.,Communications,Communications,SI
BMY,BRISTOL-MYERS SQUIBB CO,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
AVGO,BROADCOM INC,Technology,Technology,SI
BG,BUNGE GLOBAL SA NPV,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
CAH,CARDINAL HEALTH INC,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
CCL,CARNIVAL CORP.,"Consumer, Cyclical","Consumer, Cyclical",SI
CAT,CATERPILLAR INC,Industrial,Industrial,SI
SCHW,CHARLES SCHWAB CORP.,Financial,Financial,SI
CVX,CHEVRON CORP,Energy,Energy,SI
CSCO,CISCO SYSTEMS INC,Communications,Communications,SI
C,CITIGROUP INC,Financial,Financial,SI
KO,COCA-COLA CO/THE,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
CDE,COEUR MINING INC,Basic Materials,Basic Materials,SI
CL,COLGATE-PALMOLIVE CO,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
GLW,CORNING INC,Communications,Communications,SI
CAAP,CORP AMERICA AIRPORTS SA,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
COST,COSTCO WHOLESALE CORP,"Consumer, Cyclical","Consumer, Cyclical",SI
CVS,CVS HEALTH CORP.,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
DHR,DANAHER CORP.,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
BSN GR,DANONE,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
DE,DEERE & CO,Industrial,Industrial,SI
DAL,DELTA AIR LINES INC.,"Consumer, Cyclical","Consumer, Cyclical",SI
DESP,DESPEGAR.COM CORP,Communications,Communications,SI
DOCU,DOCUSIGN INC,Technology,Technology,SI
DD,DUPONT DE NEMOURS INC,Basic Materials,Basic Materials,SI
EOAN GR,E.ON SE,Utilities,Utilities,SI
EBAY,EBAY INC,Communications,Communications,SI
LLY,ELI LILLY & CO,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
EFX,EQUIFAX INC,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
ETSY,ETSY INC,Communications,Communications,SI
XOM,EXXON MOBIL CORP,Energy,Energy,SI
FNMA,FANNIE MAE,Financial,Financial,SI
FDX,FEDEX CORP,Industrial,Industrial,SI
RACE,FERRARI NV,"Consumer, Cyclical","Consumer, Cyclical",SI
FSLR,FIRST SOLAR INC,Energy,Energy,SI
FMCC,FREDDIE MAC,Financial,Financial,SI
FCX,FREEPORT-MCMORAN INC,Basic Materials,Basic Materials,SI
GRMN,GARMIN LTD,Industrial,Industrial,SI
